Token,Chapter_Category,Word_Count,Token_Type,Has_Handshape_Analysis,Handshapes,Sign_Description
AN,Grammar and Parts of Speech,1,Fingerspelled,Yes,"""A"" hand; ""N"" hand","Spell the letters ""A"" and ""N"" while moving the hand slightly to the right."
ANALYZE,Education and Communication,1,Single word,Yes,"""C"" hand","Place both ""C"" hands in front of your body and circle them in opposite directions."
ANCIENT,Time,1,Single word,Yes,Open hand,Circle both open hands back over your right shoulder.
AND,Grammar and Parts of Speech,1,Single word,Yes,Open hand,Move the right open hand to the right while brining the fingertips and thumb together.
ANGEL,Religion,1,Single word,Yes,Flat hand,Touch your shoulders with flat hands then turn your hands forward.
ANGLICAN,Religion,1,Single word,Yes,"""A"" hand","Using the ""A"" hand, draw a cross over your forehead."
ANGRY,Emotions and Character,1,Single word,Yes,Clawed hand,Pull both clawed hands upward from your waist.
ANIMAL,Animals,1,Single word,Yes,Bent hand,Place the fingertips of both bent hands on the chest and rock both hands back and forth.
ANNOUNCE,Activities,1,Single word,Yes,Index finger (1),Place both index fingers at your mouth and lift both hands upward simultaneously.
ANNUAL,Time,1,Single word,Yes,"""S"" hand","With both ""S"" hands in front of your body, circle the right hand around the left continually."
ANSWER,Opposites and Questions,1,Single word,Yes,"""R"" hand","Place the right ""R"" hand to your lips and the left ""R"" hand slightly forward then rotate them both downward."
ANUS,Health,1,Single word,Yes,"""O"" hand","Slightly open and squeeze the ""O"" hand."
APART,Opposites and Questions,1,Single word,Yes,"""F"" hand; Open hand","Connect both ""F"" hand together then separate both hands by opening the fingers into open hands."
APOO,Festivals and Holidays,1,Single word,Yes,"""X"" hand","Alternately swing your ""X"" fingers up and down."
APPEAR,Travel and Directions,1,Single word,Yes,Index finger (1); Middle finger (8),Slide your right index finger up in between the left index and middle fingers.
APPLAUSE,Activities,1,Single word,No,,Lift both hands up at the sides of your head and shake both hands at the wrists.
APPLE,Food,1,Single word,Yes,"""A"" hand","Place the thumb of the ""A"" hand on the cheek and twist back and forth."
APPLY,Activities,1,Single word,Yes,Index finger (1); Middle finger (8),Insert the right index finger in between the left index and middle fingers.
APRIL,Time,1,Single word,Yes,"""A"" hand; ""P"" hand","Press ""A"" hand into the left palm then the ""P"" hand to the back of the left hand."
ARE,Grammar and Parts of Speech,1,Single word,Yes,"""R"" hand","Place the ""R"" hand at the lips and move it forward."
AREA,Travel and Directions,1,Single word,No,,"Touch the fingertips of both ‘A"" hands together then curve them backward into the same position."
ARGUE,Education and Communication,1,Single word,Yes,"""X"" hand","Move both ""X"" hands back and forth at each other a few times."
AROUND,Travel and Directions,1,Single word,Yes,"""R"" hand","With both ""R"" hands pointing in opposite directions, circle the right hand around the left."
ARRIVE,Activities,1,Single word,Yes,Flat hand,Move the back of the right flat hand into the left palm.
ARSENAL,Sports and Games,1,Single word,Yes,"""A"" hand; ""L"" hand","Place the palm of the ""A"" hand against your cheek then move up to your temple turning it into the ""L"" hand."
ARTIST,Work,1,Single word,Yes,"""I"" hand; Flat hand","Draw the little finger of the ""I"" hand down your left palm then slide your flat hands down the body."
ASK,Opposites and Questions,1,Single word,Yes,Flat hand,Place both flat hands together with palms touching and move them in a forward arc.
ASSEMBLES OF GOD,Religion,3,Multi-word phrase,Yes,Flat hand,"Place the fingertips of both flat hands together, then rotate hands and repeat on the opposite side."
ASSIST,Education and Communication,1,Single word,Yes,"""A"" hand; ""S"" hand","Place the right ""A"" hand under the ""S"" hand wrist and push upward."
AT,Travel and Directions,1,Single word,Yes,Bent hand,Point the right bent hand into the left wrist.
ATTACK,Activities,1,Single word,Yes,Index finger (1),Grasp the right index finger with the left hand.
ATTITUDE,Emotions and Character,1,Single word,Yes,"""A"" hand","Rotate the ""A"" hand around your heart with thumb pointing to yourself."
AUGUST,Time,1,Single word,Yes,"""A"" hand","Press ""A"" hand into the left palm t hen the back of the left hand."
AUNT,"Family, People, and Pronouns",1,Single word,Yes,"""A"" hand","Shake the wrist of the ""A"" hand at your cheek."
AUTHORITY,Education and Communication,1,Single word,Yes,"""A"" hand","Place the ""A"" hand flat against your left shoulder then bring it to the left inner elbow with the thumb upward."
AVOID,Activities,1,Single word,No,,Hold the right arm up with the palm flat and pointing away from the body.
AWAKE,Health,1,Single word,Yes,Index finger (1); Pinch (thumb + index),"With your index finger and thumb touching, place your hands at the eyes and open both index fingers."
AWAY,Travel and Directions,1,Single word,No,,Wipe the top of your left hand with the open right hand.
AZONTO,Sports and Games,1,Single word,Yes,"""S"" hand","Slide the right ""S"" hand over the left a few times then bring both hands to the side of your head."
B,Technology,1,Single letter,No,,
BABY,"Family, People, and Pronouns",1,Single word,No,,Hold the arms like you are cradling a baby and rock you arms back and forth.
BACKBITING,Idiomatic Expressions,1,Single word,Yes,"""B"" hand","Jab the ""B"" hand forward toward the back of your head."
BAD,Opposites and Questions,1,Single word,No,,Place the fingertips of the right hand at the lips then move the hand down and to the right.
BAG,Home and Clothing,1,Single word,Yes,"""A"" hand","Place both ""A"" hands at the shoulders and then move the hands down toward your waist."
BALL,Sports and Games,1,Single word,Yes,"""S"" hand; Index finger (1)","Place the right index finger on the back of the left ""S"" hand then move the left hand up and down a few times."
BALLOON,Sports and Games,1,Single word,Yes,"""S"" hand","Hold the right ""S"" hand in front of your mouth then open both hands in front of your body."
BANANA,Food,1,Single word,Yes,Index finger (1),"With your left index finger pointing up, use the right hand to make a peeling motion around it."
BANDA,Festivals and Holidays,1,Single word,Yes,Index finger (1),Alternately swing your index fingers up and down in front of your body.
BANK,Money,1,Single word,Yes,"""B"" hand; Flat hand","Tap the right ""B"" hand against the back of the flat left hand a few times."
BANKER,Work,1,Single word,Yes,"""B"" hand; Flat hand","Tap the back of your left hand with the ""B"" hand then slide your flat hands down the body."
BANKU,Food,1,Single word,Yes,"""S"" hand","With both ""S"" hands in front you, drive them toward the body several times."
BANKU (NORTH),Food,2,Multi-word phrase,Yes,"""B"" hand","Place the ""B"" hand fingertips against the cheek."
BAPTISM,Religion,1,Single word,Yes,"""A"" hand","Place both ""A"" hands pointing in the same direction at the waist, then pull the hands up until they are vertical."
BARCELONA,Sports and Games,1,Single word,Yes,"""B"" hand; Index finger (1)","Tap the index finger side of the ""B"" hand at your cheek a few times."
BASKET,Home and Clothing,1,Single word,Yes,"""B"" hand","Place the ""B"" hand at the wrist and then the elbow of the left arm."
BASKETBALL,Sports and Games,1,Single word,Yes,Curved hand,Bounce both curved hands up and down then hold both hands at head level and flick hands forward.
BAT,Animals,1,Single word,Yes,"""C"" hand","Tap the upturned ""C"" hand against the bottom the the left arm a few times."
BATH,Home and Clothing,1,Single word,Yes,"""A"" hand","Slide both ""A"" hands up and down your body alternately."
BATHE,Health,1,Single word,Yes,"""A"" hand","Slide both ""A"" hands up and down your body alternately."
BATIK,Festivals and Holidays,1,Single word,Yes,"""A"" hand","Bounce your upturned ""A"" hand from your left palm to the side."
BEANS,Food,1,Single word,Yes,Index finger (1); Pinch (thumb + index),Place the right index finger between the left index finger and thumb and twist back and forth.
BEARD,Health,1,Single word,No,,Stroke your chin with the right hand.
BEAT,Activities,1,Single word,Yes,Fist / closed hand,Quickly drop the right fist over the left wrist.
BEAUTIFUL,Opposites and Questions,1,Single word,Yes,Open hand,Circle your face with the open hand and close fingers slightly as you complete one rotation.
BECAUSE,Opposites and Questions,1,Single word,Yes,Index finger (1),Alternately place both index fingers on the forehead and move both hands while bending the index fingers.
BECE,Education and Communication,1,Single word,No,,"Sign the letters ""B"" ""E"" ""C"" and ""E"" as you move the hand slightly to the right."
BECHEM SCHOOL FOR THE DEAF,Travel and Directions,5,Multi-word phrase,Yes,"""A"" hand; ""B"" hand","Place the fingertips of the ""B"" hand on the left wrist and pull back into the ""A"" hand."
BECHEM UNITED,Sports and Games,2,Multi-word phrase,Yes,"""A"" hand; ""B"" hand; ""U"" hand","1. Slide the ""B"" hand back into the ""A"" hand from wrist. 2. Circle both ""U"" hands with fingers touching."
BECOME,Activities,1,Single word,Yes,"""B"" hand","Bring both ""B"" hands together at the wrists then twist your wrists so the hands change positions."
BED,Home and Clothing,1,Single word,Yes,Flat hand,Hold both flat hands together and place them on the cheek.
BEE,Animals,1,Single word,Yes,Index finger (1); Pinch (thumb + index),Bring the thumb and index finger of both hands together and tap both sides of the face alternately.
BEER,Food,1,Single word,Yes,"""B"" hand","Place the ""B"" hand against the cheek and rotate in a backward motion."
BEG,Money,1,Single word,Yes,Flat hand,Place the backs of both flat hands together and circle the right hand against the left.
BEHAVIOUR,Activities,1,Single word,Yes,"""B"" hand","Rock both ""B"" hands back and forth in front of the body."
BEHIND,Travel and Directions,1,Single word,Yes,"""A"" hand","Place both ""A"" hands together with thumbs pointing up then curve the right hand backward."
BEING IDLE,Idiomatic Expressions,2,Multi-word phrase,Yes,"""Q"" hand","Place both ""Q"" hands on your chest and open and close your fingers."
BELIEF,Religion,1,Single word,Yes,"""A"" hand; Flat hand","Place both flat hands together and pull them in opposite directions while closing into ""A"" hands."
BELIEVE,Ideas and Mental Action,1,Single word,Yes,"""A"" hand; Flat hand","Place both flat hands together and pull them in opposite directions while closing into ""A"" hands."
BELOW,Travel and Directions,1,Single word,Yes,Flat hand,"With both flat hands pointing downward, slide the right hand under the left."
BEST,Emotions and Character,1,Single word,Yes,"""A"" hand; Flat hand","Sweep your flat hand across your mouth and up while closing into ""A"" hand."
BETTER,Emotions and Character,1,Single word,Yes,"""A"" hand; Flat hand","Sweep your flat hand across your mouth and close into ""A"" hand."
BETWEEN,Travel and Directions,1,Single word,Yes,Flat hand; Middle finger (8),Insert the right flat hand in between the left index and middle fingers then wave the hand side-to-side.
BEYOND,Travel and Directions,1,Single word,Yes,Bent hand,Place both bent hands together and move the right hand up and forward.
BIBLE,Religion,1,Single word,Yes,"""B"" hand","Move the ""B"" hand from your fingertips to your palm."
BICYCLE,Sports and Games,1,Single word,Yes,"""S"" hand","Move both downturned ""S"" hands forward in alternating circles."
BIG BUTT,Idiomatic Expressions,2,Multi-word phrase,Yes,"""Y"" hand","Trace the oultine of a large arc using both ""Y"" hands in opposite directions."
BIRD,Animals,1,Single word,Yes,Flat hand,Place both flat hands at your shoulders and flap them up and down.
BIRTH,Health,1,Single word,Yes,Flat hand,Swing the right flat hand under the left flat hand.
BIRTHDAY,Festivals and Holidays,1,Single word,Yes,Index finger (1),Swing your right hand under the left then drop your right arm to your left elbow with the index finger up.
BISCUIT,Food,1,Single word,Yes,Clawed hand,Twist the clawed hand in the left palm.
BITTER,Food,1,Single word,Yes,Index finger (1),Place the tip of the index finger at your cheek and twist forward.
BITTER SOUP,Food,2,Multi-word phrase,Yes,"""B"" hand","Shake the ""B"" hand against your cheek."
BLACK,Colours,1,Single word,Yes,Index finger (1),Move the index finger sideways across your forehead.
BLACK STARS,Sports and Games,2,Multi-word phrase,Yes,"""B"" hand; Index finger (1)","1. Slide the right ""B"" hand across your eyebrows. 2. Move both index fingers upward alternately."
BLACKBOARD,Education and Communication,1,Single word,Yes,"""B"" hand","Place the ""B"" hand in front of your left side then move to the right side."
BLADE,Home and Clothing,1,Single word,Yes,"""A"" hand","Move the thumb of the ""A"" hand downward on the cheek."
BLAME,Activities,1,Single word,Yes,"""A"" hand","With the thumb pointing upward, push the right ""A"" hand across the top of the left hand."
BLESS,Religion,1,Single word,Yes,"""A"" hand; Flat hand","Place both ""A"" hands under your mouth then bring them forward while opening to flat hands."
BLIND,"Family, People, and Pronouns",1,Single word,Yes,"""V"" hand","Point the fingertips of the curved ""V"" hand in front of the eyes."
BLOOD,Health,1,Single word,Yes,Open hand,Silde the right open hand down the left open hand and wiggle the fingers.
BLUE,Colours,1,Single word,Yes,"""B"" hand","Shake the ""B"" hand at the wrist."
BOAST,Emotions and Character,1,Single word,Yes,"""A"" hand","Place the thumbs of both ""A"" hands against your waist alternately."
BOAT,Travel and Directions,1,Single word,Yes,Curved hand,Place both curved hands together and gently rock them forward.
BODY,Health,1,Single word,Yes,Flat hand,Tap your chest and then abdomen with flat hands.
BOLGATANGA,Travel and Directions,1,Single word,Yes,"""B"" hand","Draw the ""B"" hand downward from the side of the nose to the mouth."
BOMBSHELL,Idiomatic Expressions,1,Single word,Yes,AND hand (flat O),"Place both ""AND"" hands at waist level and suddenly force them upward while opening your fingers."
BONE,Health,1,Single word,No,,Grasp your left wrist in your right hand and gently shake back and forth.
BOOK,Education and Communication,1,Single word,Yes,Flat hand; Little finger (I),Open and close both flat hands while keeping the little fingers together.
BOREHOLE,Home and Clothing,1,Single word,Yes,"""S"" hand","Bring both ""S"" hands up and down simultaneously."
BORING,Emotions and Character,1,Single word,Yes,Index finger (1),Place the index finger against your nose and rotate forward slightly.
BORROW,Money,1,Single word,Yes,"""V"" hand","Cross the curved ""V"" hands at the wrists and move them toward the body."
BOSS,Work,1,Single word,Yes,Clawed hand,Place the clawed hand on your right shoulder.
BOTH,Money,1,Single word,Yes,"""2"" hand","Slide the right ""2"" hand down from the grasp of the left hand."
BOTH OF US,Idiomatic Expressions,3,Multi-word phrase,Yes,"""K"" hand","Rock the ""K"" hand forward and back between yourself and the person being addressed."
BOTHER,Activities,1,Single word,Yes,Flat hand; Index finger (1),Bring the right flat hand down between the middle and index fingers of the left hand.
BOWL,Food,1,Single word,Yes,Curved hand,Place the fingertips of both curved hands together in front you and draw back in a circular motion.
BOXING,Sports and Games,1,Single word,Yes,"""S"" hand","Alternate punching in front of you with ""S"" hands."
BOY,"Family, People, and Pronouns",1,Single word,Yes,AND hand (flat O),"Move the ""AND"" hand to the forehead then move the hand slightly forward."
BRAIN,Health,1,Single word,Yes,"""B"" hand","Place the thumb of the ""B"" hand against your forehead."
BRAVE,Emotions and Character,1,Single word,Yes,"""B"" hand","Press the ""B"" hand into your chest then pull it forward."
BRAZIL,Travel and Directions,1,Single word,Yes,"""B"" hand","Place the ""B"" hand facing out on your forehead then twist the hand forward and to your eyebrow."
BREAD,Food,1,Single word,Yes,Curved hand; Flat hand,Draw the right curved hand down over the back of the flat left hand a few times.
BREAK,Activities,1,Single word,Yes,"""S"" hand","Place both ""S"" hands together with the palms down then rotate each hand outward in opposite directions."
BREAKFAST,Food,1,Single word,Yes,"""B"" hand","Move the ""B"" hand toward the mouth a few times."
BREASTFEED,Health,1,Single word,No,,Hold your left arm at your side and squeeze your right hand at the chest.
BREASTS,Health,1,Single word,Yes,Open hand,Hold open hands over your chest.
BREATHE,Health,1,Single word,Yes,Open hand,Place both open hands at your chest and move them back and forth slowly.
BREEZE,Science and Nature,1,Single word,Yes,Open hand,Wave both open hands back and forth in front of your body.
BRIBE,Politics,1,Single word,Yes,"""B"" hand","Hide the ""B"" hand under the left hand and fan it side to side."
BRIDGE,Travel and Directions,1,Single word,Yes,"""V"" hand","Hold your left arm in front of your body and tap the fingers of the ""V"" hand to the wrist and elbow."
BRIGHT,Opposites and Questions,1,Single word,Yes,AND hand (flat O); Open hand,"Hold both ""AND"" hands in front of the body then raise both into open hands."
BRING,Activities,1,Single word,Yes,Flat hand,Hold both flat hands with palms up and move both hands in toward the body.
BRONG AHAFO,Travel and Directions,2,Multi-word phrase,No,,"Sign the letters ""B"" and ""A"" while moving your hand slightly to the right."
BROTHER,"Family, People, and Pronouns",1,Single word,Yes,AND hand (flat O); Index finger (1),"Make the sign for ""BOY"" then point both index fingers forward and bring them together."
BROWN,Colours,1,Single word,Yes,"""B"" hand","Rub the ""B"" hands together in a circular motion."
BUCKET,Home and Clothing,1,Single word,Yes,"""S"" hand","Pull the ""S"" hand up at the side of your body."
BUFFLOAF,Food,1,Single word,Yes,Fist / closed hand,Cup the air and then bring your hand down into a fist.
BUILDER,Work,1,Single word,Yes,Flat hand,1 and 2: Layer both arms above each other alternately 3: Slide your flat hands down the body.
BUISNESS,Work,1,Single word,Yes,"""B"" hand","Swing the right ""B"" hand above the left wrist."
BUISNESS PERSON,Work,2,Multi-word phrase,Yes,"""B"" hand; Flat hand","Swing the right ""B"" hand above the left wrist then slide your flat hands down the body."
BURKINA FASO,Travel and Directions,2,Multi-word phrase,Yes,"""B"" hand; ""F"" hand","Place the ""B"" hand on your wrist then place the ""F"" hand on your fingertips."
BURY,Activities,1,Single word,Yes,Curved hand,Place both curved hands in front of the body and pull both hands back into the body simultaneously.
BUS,Travel and Directions,1,Single word,Yes,"""A"" hand; ""C"" hand","1. Hold ""A"" hands in front and twist back and forth. 2. Place ""C"" hands together and pull back the right."
BUSY,Education and Communication,1,Single word,Yes,"""B"" hand","Place the ""B"" hand on your left wrist and wiggle the right hand."
BUTTER,Food,1,Single word,Yes,"""H"" hand","Brush the fingertips of the ""H"" hand across the left palm."
BUTTERFLY,Animals,1,Single word,Yes,Open hand,Interlock the thumbs of both open hands facing your body and wiggle the fingers.
BUY,Money,1,Single word,Yes,Curved hand,Place both upturned curved hands together then lift the right hand upward and forward.
BY,Grammar and Parts of Speech,1,Single word,Yes,"""B"" hand","Keep the left ""B"" hand steady as the right ""B"" hand rotates forward around it."
CABBAGE,Food,1,Single word,Yes,Curved hand; Middle finger (8),Bring the middle fingers of both curved hands together with the heel of the palms sza touching.
CALENDER,Time,1,Single word,Yes,"""C"" hand","Swing the ""C"" hand from the left palm over to the back of the left hand."
CALL,Activities,1,Single word,Yes,"""A"" hand; Flat hand","Place fingers of the right flat hand on top of the left hand and pull the right hand up into the ""A"" hand."
CAMEL,Animals,1,Single word,Yes,Curved hand,Rest the right elbow on the left hand and move the right curved hand back and forth.
CAN,Opposites and Questions,1,Single word,Yes,"""S"" hand","Hold both ""S"" hands to the front and move them down firmly at the same time."
CAN'T,Opposites and Questions,1,Single word,Yes,Index finger (1),Strike the right index finger against the left index finger from above.
CAN'T CHANGE,Idiomatic Expressions,2,Multi-word phrase,Yes,"""S"" hand; Open hand","Move the ""S"" hand from under your chin to an open hand in front of your face."
CANANDA,Travel and Directions,1,Single word,Yes,"""A"" hand; Bent hand","Place the fingertips of the bent hand against your left shoulder then draw forward into ""A"" hand."
CANDLE,Home and Clothing,1,Single word,Yes,Index finger (1),Place your right index finger in the left palm and wiggle the fingers.
CANOEING,Sports and Games,1,Single word,Yes,"""S"" hand","Hold one ""S"" hand over the other ""S"" hand at the side of the body then move them down and backward."
CAP,Home and Clothing,1,Single word,Yes,"""A"" hand","Place the modified ""A"" hand in front of the forehead and move it slightly downward."
CAPE COAST,Travel and Directions,2,Multi-word phrase,No,,"Sign the letter ""C"" in front of your abdomen then again at your side."
CAPITAL LETTER,Grammar and Parts of Speech,2,Multi-word phrase,Yes,"""A"" hand; Clawed hand","Touch the shoulder with the clawed hand then place the thumb of the ""A"" hand on the left palm."
CAPTAIN,Sports and Games,1,Single word,No,,Use the right hand to grasp the left upper arm.
CAR,Travel and Directions,1,Single word,Yes,"""A"" hand","Hold both ""A"" hands in front of you and twist back and forth like a steering wheel."
CARE,Activities,1,Single word,Yes,"""C"" hand","Place the right ""C"" hand on top of the left ""C"" hand and move them up and down."
CARPENTER,Work,1,Single word,Yes,"""S"" hand; Flat hand","Swing both ""S"" hands forward and backward then slide your flat hands down the body."
CARROT,Food,1,Single word,Yes,Index finger (1),Place the index finger at the corner of the mouth and twist the hand at the wrist.
CARRY,Activities,1,Single word,Yes,Flat hand,Hold both flat hands with palms up and move both hands out away from the body.
CARRY ON HEAD,Activities,3,Multi-word phrase,Yes,Open hand,Place both open hands at the top of the head.
CASSAVA,Food,1,Single word,Yes,Flat hand,Bring the right flat hand down against both sides of the left forearm.
CASTLE,Travel and Directions,1,Single word,Yes,"""C"" hand","Place the ""C"" hand on your left wrist and bounce both hands up and down."
CAT,Animals,1,Single word,Yes,"""F"" hand","Place the index fingers and thumb of the ""F"" hands under the nose and move them outward."
CATCH,Sports and Games,1,Single word,Yes,"""S"" hand; Clawed hand","Move the right clawed hand to the left and curve it into the ""S"" hand near your left shoulder."
CAUSE,Ideas and Mental Action,1,Single word,Yes,"""C"" hand","Touch the thumbs of both ""C"" hands to your forehead then twist the hands forward."
CEDI,Money,1,Single word,Yes,Flat hand,"With the left flat hand facing forward, grasp your right hand over the left fingers and slide the hand forward."
CELEBRATE,Festivals and Holidays,1,Single word,Yes,"""C"" hand","Place both ""C"" hands at head level and circle them in opposite directions."
CERTIFICATE,Education and Communication,1,Single word,Yes,"""C"" hand","Tap the thumbs of both ""C"" hands together a few times."
CHAIN,Home and Clothing,1,Single word,Yes,Index finger (1); Pinch (thumb + index),Interlock both index fingers and thumbs then alternate the position of each hand and repeat.
CHAIR,Home and Clothing,1,Single word,Yes,"""U"" hand; Flat hand","Tap the fingers of the ""U"" hand on the thumb of the flat hand."
CHALK,Education and Communication,1,Single word,Yes,Index finger (1),Tap the thumb and bent index finger of the right hand on your left index finger from above.
CHALLENGE AUTHORITY,Idiomatic Expressions,2,Multi-word phrase,Yes,Bent hand,Touch the fingertips of both bent hands together a few times with one hand at a higher angle.
CHANGE,Activities,1,Single word,Yes,"""A"" hand","Bring both ""A"" hands together at the wrists then twist your wrists so the hands change positions."
CHAPTER,Education and Communication,1,Single word,Yes,"""C"" hand","Place the ""C"" hand at shoulder level then pull straight down."
CHARACTER,Emotions and Character,1,Single word,Yes,"""C"" hand","Rotate the ""C"" hand around your heart."
CHEAP,Money,1,Single word,Yes,Flat hand,"With the left palm facing right, brush the right flat hand against the palm a few times."
CHEAT,Religion,1,Single word,Yes,Flat hand; Middle finger (8),Straddle your left flat hand with the right index and middle fingers.
CHELSEA,Sports and Games,1,Single word,Yes,"""C"" hand","Move the ""C"" hand from the right side of your mouth to the left."
CHICKEN,Animals,1,Single word,Yes,Index finger (1); Pinch (thumb + index),Open and close the index finger and thumb in front of the mouth and against the left palm.
CHICKENPOX,Health,1,Single word,Yes,Index finger (1),Tap your index finger against you arm a few times.
CHIEF,Travel and Directions,1,Single word,Yes,"""C"" hand","Move the ""C"" hand pointing upward from your right shoulder to your left waist."
CHILD,"Family, People, and Pronouns",1,Single word,Yes,Flat hand,"Place the flat, downturned hand in front of the body and motion as if patting the head of a child."
CHILDREN,"Family, People, and Pronouns",1,Single word,Yes,Flat hand,"Place the flat, downturned hand in front of the body and motion as if patting the heads of many children."
CHINA,Travel and Directions,1,Single word,Yes,"""C"" hand","Place the ""C"" hand against the corner of your eye and wiggle the wrist."
CHRIST,Religion,1,Single word,Yes,"""C"" hand","Move the ""C"" hand from your left shoulder to your right hip."
CHRISTMAS,Festivals and Holidays,1,Single word,Yes,"""C"" hand","Place the right eblow on the left downturned hand and circle the ""C"" hand."
CHURCH,Religion,1,Single word,Yes,"""C"" hand","Tap the left wrist with the ""C"" hand twice."
CITY,Travel and Directions,1,Single word,Yes,Index finger (1),"Sign the letter ""C"" then tap the thumb with your index finger twice."
CLASS,Education and Communication,1,Single word,Yes,"""C"" hand","Place both downturned ""C"" hands in front of your body and shake them forward slightly."
CLEAN,Opposites and Questions,1,Single word,Yes,Flat hand,Move the palm of the right flat hand across the left plam and fingers.
CLIMB,Sports and Games,1,Single word,Yes,"""V"" hand","Move both bent ""V"" hands upward while alternating one slightly above the other."
