id,english_sentence,category,sentence_type,word_count,length_band,gsl_gloss_1,gsl_gloss_2,gsl_gloss_3,consensus_gloss,annotator_notes,flag_missing_sign
GH0051,"When you post something important, please add captions so that deaf people can follow.",Phone & Technology,statement,14,long,,,,,,
GH0052,The customer is happy with the work.,Work & Business,statement,7,medium,,,,,,
GH0053,Business has been slow since the beginning of the year.,Work & Business,statement,10,medium,,,,,,
GH0054,Can you reduce the price small?,Market & Shopping,question,6,medium,,,,,,
GH0055,I am dizzy.,Health & Hospital,statement,3,short,,,,,,
GH0056,Follow me on TikTok.,Phone & Technology,request_or_command,4,short,,,,,,
GH0057,Deaf people can do any job as long as they are given the training and the chance.,Work & Business,statement,17,long,,,,,,
GH0058,Do you have your licence?,Transport & Travel,question,5,short,,,,,,
GH0059,The ticket is sold out.,Transport & Travel,statement,5,short,,,,,,
GH0060,"If anybody comes looking for me, tell them that I will be back at four.",Requests & Everyday Actions,statement,15,long,,,,,,
GH0061,Next month I will travel to the north.,Time & Plans,statement,8,medium,,,,,,
GH0062,I want to start my own business.,Work & Business,statement,7,medium,,,,,,
GH0063,Pull the door.,Requests & Everyday Actions,request_or_command,3,short,,,,,,
GH0064,I will travel to the village next month and stay there for two weeks.,Time & Plans,statement,14,long,,,,,,
GH0065,Tell them I cannot hear.,Deaf Identity & Communication,request_or_command,5,short,,,,,,
GH0066,The sun is too hot to walk outside now.,Weather & Environment,statement,9,medium,,,,,,
GH0067,They took my blood for testing.,Health & Hospital,statement,6,medium,,,,,,
GH0068,My brother is also deaf.,Deaf Identity & Communication,statement,5,short,,,,,,
GH0069,Video call me so we can sign.,Deaf Identity & Communication,statement,7,medium,,,,,,
GH0070,"If you want the work done quickly, you must pay half of the money first.",Work & Business,statement,15,long,,,,,,
GH0071,Please send it by mobile money.,Money & Mobile Money,request_or_command,6,medium,,,,,,
GH0072,"Look at me, not at the interpreter.",Deaf Identity & Communication,request_or_command,7,medium,,,,,,
GH0073,That was very kind of you.,Feelings & Opinions,statement,6,medium,,,,,,
GH0074,The programme starts at nine in the morning.,Time & Plans,statement,8,medium,,,,,,
GH0075,Let us meet in the evening.,Time & Plans,request_or_command,6,medium,,,,,,
GH0076,Can I use your hotspot?,Phone & Technology,question,5,short,,,,,,
GH0077,Do you not think it is unfair that deaf people are always left out?,Feelings & Opinions,question,14,long,,,,,,
GH0078,"The fish she sold me yesterday was not fresh, so I threw it away.",Food & Eating,statement,14,long,,,,,,
GH0079,I was paid today.,Money & Mobile Money,statement,4,short,,,,,,
GH0080,Wash your hands before eating.,Food & Eating,request_or_command,5,short,,,,,,
GH0081,Please help me carry this bag to the car.,Requests & Everyday Actions,request_or_command,9,medium,,,,,,
GH0082,The customer wants the dress before Saturday.,Work & Business,statement,7,medium,,,,,,
GH0083,"If you are patient with people, they will also be patient with you.",Feelings & Opinions,statement,13,long,,,,,,
GH0084,Are you happy?,Feelings & Opinions,question,3,short,,,,,,
GH0085,How did you perform in the last test?,School & Education,question,8,medium,,,,,,
GH0086,The service is long today.,"Church, Mosque & Community",statement,5,short,,,,,,
GH0087,Are you working now?,Work & Business,question,4,short,,,,,,
GH0088,Cook the rice while I prepare the stew.,Food & Eating,request_or_command,8,medium,,,,,,
GH0089,"Take your umbrella, the sky is getting dark.",Weather & Environment,request_or_command,8,medium,,,,,,
GH0090,Deaf patients often miss important information because nobody explains it to them properly.,Health & Hospital,statement,13,long,,,,,,
GH0091,"If the price is too high, I will go to another shop and check there.",Market & Shopping,statement,15,long,,,,,,
GH0092,The car has a flat tyre.,Transport & Travel,statement,6,medium,,,,,,
GH0093,Our cousin is getting married.,Family & Home,statement,5,short,,,,,,
GH0094,My hearing aid does not help me very much.,Deaf Identity & Communication,statement,9,medium,,,,,,
GH0095,It is not fair that deaf people are left out of important meetings.,Feelings & Opinions,statement,13,long,,,,,,
GH0096,Do not play near the fire.,Family & Home,request_or_command,6,medium,,,,,,
GH0097,The waakye at that junction is very nice.,Food & Eating,statement,8,medium,,,,,,
GH0098,Do not be late.,Time & Plans,request_or_command,4,short,,,,,,
GH0099,Did you sweep the room?,Family & Home,question,5,short,,,,,,
GH0100,Buy the ticket first.,Transport & Travel,request_or_command,4,short,,,,,,
GH0101,"Did you understand everything the pastor said, or was the interpreter signing too fast?",Deaf Identity & Communication,question,14,long,,,,,,
GH0102,The food is ready.,Family & Home,statement,4,short,,,,,,
GH0103,Are you free on Saturday to meet me?,Time & Plans,question,8,medium,,,,,,
GH0104,"If you cannot find the place, call me on video and I will direct you.",Directions & Places,statement,15,long,,,,,,
GH0105,We have been waiting for you for one hour.,Time & Plans,statement,9,medium,,,,,,
GH0106,This soup is too peppery.,Food & Eating,statement,5,short,,,,,,
GH0107,Business is going well.,Work & Business,statement,4,short,,,,,,
GH0108,Hold this for me while I open the door.,Requests & Everyday Actions,request_or_command,9,medium,,,,,,
GH0109,Are you on WhatsApp?,Introductions & Small Talk,question,4,short,,,,,,
GH0110,Please remind me about the meeting tomorrow.,Requests & Everyday Actions,request_or_command,7,medium,,,,,,
GH0111,"Thank you, madam.",Market & Shopping,statement,3,short,,,,,,
GH0112,Buy two sachets of water for me.,Food & Eating,request_or_command,7,medium,,,,,,
GH0113,I am excited about the trip next month.,Feelings & Opinions,statement,8,medium,,,,,,
GH0114,Do you think the hospital will provide an interpreter if we ask them in advance?,Deaf Identity & Communication,question,15,long,,,,,,
GH0115,I know her very well.,Introductions & Small Talk,statement,5,short,,,,,,
GH0116,"He is bleeding, help him.",Health & Hospital,statement,5,short,,,,,,
GH0117,He has recovered.,Health & Hospital,statement,3,short,,,,,,
GH0118,Should we postpone it to next week?,Time & Plans,question,7,medium,,,,,,
GH0119,Please wake me when we reach.,Transport & Travel,request_or_command,6,medium,,,,,,
GH0120,Let us take a taxi.,Transport & Travel,request_or_command,5,short,,,,,,
GH0121,"I think I have malaria, my body is hot.",Health & Hospital,statement,9,medium,,,,,,
GH0122,Do you want more?,Food & Eating,question,4,short,,,,,,
GH0123,I need an interpreter at the hospital.,Health & Hospital,statement,7,medium,,,,,,
GH0124,The wind is strong.,Weather & Environment,statement,4,short,,,,,,
GH0125,Let us go.,Requests & Everyday Actions,request_or_command,3,short,,,,,,
GH0126,"Good morning, I hope you slept well last night.",Greetings & Farewells,statement,9,medium,,,,,,
GH0127,Have they paid your salary yet?,Money & Mobile Money,question,6,medium,,,,,,
GH0128,I waited from morning until afternoon at the clinic.,Health & Hospital,statement,9,medium,,,,,,
GH0129,I will finish the work by tomorrow evening.,Work & Business,statement,8,medium,,,,,,
GH0130,Will you wait for me?,Requests & Everyday Actions,question,5,short,,,,,,
GH0131,My insurance has expired.,Health & Hospital,statement,4,short,,,,,,
GH0132,He is the man who taught sign language at our school for many years.,Introductions & Small Talk,statement,14,long,,,,,,
GH0133,I forgot.,Requests & Everyday Actions,statement,2,short,,,,,,
GH0134,Who finished all the stew in the pot?,Food & Eating,question,8,medium,,,,,,
GH0135,Please fingerspell your name.,Introductions & Small Talk,request_or_command,4,short,,,,,,
GH0136,I have missed you.,Greetings & Farewells,statement,4,short,,,,,,
GH0137,The transaction failed.,Money & Mobile Money,statement,3,short,,,,,,
GH0138,What do you usually eat in the morning?,Food & Eating,question,8,medium,,,,,,
GH0139,"Good night, sleep well.",Greetings & Farewells,statement,4,short,,,,,,
GH0140,I miss you.,Feelings & Opinions,statement,3,short,,,,,,
GH0141,"Show me how to do it again, please.",Requests & Everyday Actions,request_or_command,8,medium,,,,,,
GH0142,It is going to rain.,Weather & Environment,statement,5,short,,,,,,
GH0143,We need an interpreter for the sermon.,"Church, Mosque & Community",statement,7,medium,,,,,,
GH0144,There are few deaf teachers in this country.,Deaf Identity & Communication,statement,8,medium,,,,,,
GH0145,The shoe seller is over there.,Market & Shopping,statement,6,medium,,,,,,
GH0146,"If you sign too fast, I will miss the important part of what you are saying.",Deaf Identity & Communication,statement,16,long,,,,,,
GH0147,What is paining you?,Health & Hospital,question,4,short,,,,,,
GH0148,We waited at the station for two hours before the car was finally full.,Transport & Travel,statement,14,long,,,,,,
GH0149,Please save my number.,Introductions & Small Talk,request_or_command,4,short,,,,,,
GH0150,Where is the teacher?,School & Education,question,4,short,,,,,,
GH0151,Please keep the shoes for me until Friday when I receive my salary.,Market & Shopping,request_or_command,13,long,,,,,,
GH0152,When are we travelling to the village?,Family & Home,question,7,medium,,,,,,
GH0153,"The food is ready, come and wash your hands.",Food & Eating,statement,9,medium,,,,,,
GH0154,I want a bigger one.,Market & Shopping,statement,5,short,,,,,,
GH0155,I have an appointment tomorrow.,Health & Hospital,statement,5,short,,,,,,
GH0156,Let us go to the market together.,Market & Shopping,request_or_command,7,medium,,,,,,
GH0157,I have only fifty cedis.,Market & Shopping,statement,5,short,,,,,,
GH0158,Please inform all the members that the meeting has been moved to the following week.,"Church, Mosque & Community",request_or_command,15,long,,,,,,
GH0159,"The light is behind you, I cannot see your hands.",Deaf Identity & Communication,statement,10,medium,,,,,,
GH0160,It is getting late.,Time & Plans,statement,4,short,,,,,,
GH0161,I am shy.,Feelings & Opinions,statement,3,short,,,,,,
GH0162,That restaurant is expensive but the food is good.,Food & Eating,statement,9,medium,,,,,,
GH0163,Do not put pepper in my own.,Food & Eating,request_or_command,7,medium,,,,,,
GH0164,"Many hearing people think deaf people cannot work, but that is not true at all.",Deaf Identity & Communication,statement,15,long,,,,,,
GH0165,How much is this?,Market & Shopping,question,4,short,,,,,,
GH0166,I tapped his shoulder to tell him to stop.,Transport & Travel,statement,9,medium,,,,,,
GH0167,Count the money well.,Money & Mobile Money,request_or_command,4,short,,,,,,
GH0168,Do not worry.,Feelings & Opinions,request_or_command,3,short,,,,,,
GH0169,There is no light to charge.,Phone & Technology,statement,6,medium,,,,,,
GH0170,She is my classmate.,Introductions & Small Talk,statement,4,short,,,,,,
GH0171,She is the new member of our association.,Introductions & Small Talk,statement,8,medium,,,,,,
GH0172,The light is off.,Family & Home,statement,4,short,,,,,,
GH0173,"Nobody informed me about the family meeting, so I did not attend it.",Family & Home,statement,13,long,,,,,,
GH0174,I need books and pens.,School & Education,statement,5,short,,,,,,
GH0175,I sleep late at night.,Time & Plans,statement,5,short,,,,,,
GH0176,"If you are passing by the shop, buy me a pen and a small notebook.",Requests & Everyday Actions,statement,15,long,,,,,,
GH0177,How much do you charge for this?,Work & Business,question,7,medium,,,,,,
GH0178,"The agent said that there is no cash, so I should come back tomorrow morning.",Money & Mobile Money,statement,15,long,,,,,,
GH0179,The food is delicious.,Food & Eating,statement,4,short,,,,,,
GH0180,Would you mind writing it down for me?,Requests & Everyday Actions,question,8,medium,,,,,,
GH0181,I will travel tomorrow morning.,Transport & Travel,statement,5,short,,,,,,
GH0182,Add small salt to the stew.,Food & Eating,request_or_command,6,medium,,,,,,
GH0183,The baby is crying.,Family & Home,statement,4,short,,,,,,
GH0184,Take it after eating.,Health & Hospital,request_or_command,4,short,,,,,,
GH0185,"If it rains this afternoon, remember to bring the clothes in from the line.",Family & Home,statement,14,long,,,,,,
GH0186,What is wrong with you?,Feelings & Opinions,question,5,short,,,,,,
GH0187,There was an accident.,Health & Hospital,statement,4,short,,,,,,
GH0188,Do you have this shirt in a bigger size?,Market & Shopping,question,9,medium,,,,,,
GH0189,I attend the deaf church.,Introductions & Small Talk,statement,5,short,,,,,,
GH0190,Are you going already?,Greetings & Farewells,question,4,short,,,,,,
GH0191,Send me a message as soon as you get to the station tonight.,Requests & Everyday Actions,request_or_command,13,long,,,,,,
GH0192,The harmattan is making my skin very dry.,Weather & Environment,statement,8,medium,,,,,,
GH0193,He has not paid me for the work yet.,Money & Mobile Money,statement,9,medium,,,,,,
GH0194,"When the gutters are choked, the water floods the street after a heavy rain.",Weather & Environment,statement,14,long,,,,,,
GH0195,"I am not feeling well, I want to see a doctor.",Health & Hospital,statement,11,long,,,,,,
GH0196,School fees must be paid.,School & Education,statement,5,short,,,,,,
GH0197,I will pay you back next week.,Money & Mobile Money,statement,7,medium,,,,,,
GH0198,I go home every weekend.,School & Education,statement,5,short,,,,,,
GH0199,The video is not clear.,Phone & Technology,statement,5,short,,,,,,
GH0200,I always ask a friend to come with me because there is no interpreter at the clinic.,Health & Hospital,statement,17,long,,,,,,
GH0201,Where should I wait for you?,Directions & Places,question,6,medium,,,,,,
GH0202,It is very close.,Directions & Places,statement,4,short,,,,,,
GH0203,It is in front of the station.,Directions & Places,statement,7,medium,,,,,,
GH0204,Can you sign?,Deaf Identity & Communication,question,3,short,,,,,,
GH0205,This one is too small.,Market & Shopping,statement,5,short,,,,,,
GH0206,We need an interpreter for the meeting tomorrow.,Deaf Identity & Communication,statement,8,medium,,,,,,
GH0207,I will be there on time.,Time & Plans,statement,6,medium,,,,,,
GH0208,The journey to Tamale takes about twelve hours.,Transport & Travel,statement,8,medium,,,,,,
GH0209,Pray for me.,"Church, Mosque & Community",request_or_command,3,short,,,,,,
GH0210,Who is looking after the baby?,Family & Home,question,6,medium,,,,,,
GH0211,Where can I buy shoes?,Market & Shopping,question,5,short,,,,,,
GH0212,The office is on the second floor of that building.,Directions & Places,statement,10,medium,,,,,,
GH0213,Somebody tried to defraud me.,Money & Mobile Money,statement,5,short,,,,,,
GH0214,Get well soon.,Health & Hospital,request_or_command,3,short,,,,,,
GH0215,I learned sign language when I was seven years old.,Deaf Identity & Communication,statement,10,medium,,,,,,
GH0216,The hospital queue was very long this morning.,Health & Hospital,statement,8,medium,,,,,,
GH0217,Do not tell anybody what I told you.,Requests & Everyday Actions,request_or_command,8,medium,,,,,,
GH0218,The weather has changed.,Weather & Environment,statement,4,short,,,,,,
GH0219,Wait for me in front of the school and I will meet you there in ten minutes.,Directions & Places,request_or_command,17,long,,,,,,
GH0220,Please come early so we can finish on time.,Time & Plans,request_or_command,9,medium,,,,,,
GH0221,I am grateful for everything you have done for me and my family.,Feelings & Opinions,statement,13,long,,,,,,
GH0222,The baby is sleeping.,Family & Home,statement,4,short,,,,,,
GH0223,Please sign slowly.,Deaf Identity & Communication,request_or_command,3,short,,,,,,
GH0224,The wedding is next month and we are all invited.,"Church, Mosque & Community",statement,10,medium,,,,,,
GH0225,My family is originally from the Volta Region.,Introductions & Small Talk,statement,8,medium,,,,,,
GH0226,I am allergic to that drug.,Health & Hospital,statement,6,medium,,,,,,
GH0227,Who is your friend?,Introductions & Small Talk,question,4,short,,,,,,
GH0228,This is my first time attending this programme.,Introductions & Small Talk,statement,8,medium,,,,,,
GH0229,Did your mother say what time she will be back from the market?,Family & Home,question,13,long,,,,,,
GH0230,I have a headache.,Health & Hospital,statement,4,short,,,,,,
GH0231,"Please add small salt to the soup, but do not put too much pepper inside.",Food & Eating,request_or_command,15,long,,,,,,
GH0232,The family is fine.,Greetings & Farewells,statement,4,short,,,,,,
GH0233,When will the school go on vacation?,School & Education,question,7,medium,,,,,,
GH0234,Do not tell anybody about this until I have spoken to my family.,Requests & Everyday Actions,request_or_command,13,long,,,,,,
GH0235,I am going to the market.,Market & Shopping,statement,6,medium,,,,,,
GH0236,I will message you later.,Introductions & Small Talk,statement,5,short,,,,,,
GH0237,The road is flooded.,Weather & Environment,statement,4,short,,,,,,
GH0238,The hospital is about fifteen minutes walk from the station if you go straight.,Directions & Places,statement,14,long,,,,,,
GH0239,I am hungry.,Food & Eating,statement,3,short,,,,,,
GH0240,Can you send me the photo?,Phone & Technology,question,6,medium,,,,,,
GH0241,He is my old classmate from the deaf school.,Introductions & Small Talk,statement,9,medium,,,,,,
GH0242,"Make way, please.",Requests & Everyday Actions,request_or_command,3,short,,,,,,
GH0243,Why did you not tell me that the landlord came to the house yesterday?,Family & Home,question,14,long,,,,,,
GH0244,My grandmother wants the whole family to come to the village for Christmas.,Family & Home,statement,13,long,,,,,,
GH0245,I have too much work today.,Work & Business,statement,6,medium,,,,,,
GH0246,Can you take me there?,Directions & Places,question,5,short,,,,,,
GH0247,Let me think.,Requests & Everyday Actions,request_or_command,3,short,,,,,,
GH0248,We were in the same school.,Introductions & Small Talk,statement,6,medium,,,,,,
GH0249,Let us finish this work before we go.,Requests & Everyday Actions,request_or_command,8,medium,,,,,,
GH0250,The bus has broken down.,Transport & Travel,statement,5,short,,,,,,
GH0251,I will take it for repair on Saturday.,Phone & Technology,statement,8,medium,,,,,,
GH0252,I feel tired because I did not sleep well.,Feelings & Opinions,statement,9,medium,,,,,,
GH0253,"When I go to the market, I write the prices on my phone to show the traders.",Market & Shopping,statement,17,long,,,,,,
GH0254,The sun is too strong.,Weather & Environment,statement,5,short,,,,,,
GH0255,Where did you buy this waakye?,Food & Eating,question,6,medium,,,,,,
GH0256,I am proud of what you have achieved.,Feelings & Opinions,statement,8,medium,,,,,,
GH0257,Please meet my brother.,Introductions & Small Talk,request_or_command,4,short,,,,,,
GH0258,Sleep under the mosquito net.,Weather & Environment,request_or_command,5,short,,,,,,
GH0259,The programme will start at nine and it should end around two in the afternoon.,Time & Plans,statement,15,long,,,,,,
GH0260,Answer me.,Requests & Everyday Actions,request_or_command,2,short,,,,,,
GH0261,The car is full.,Transport & Travel,statement,4,short,,,,,,
GH0262,Please tell the mate that I am dropping at the junction after the filling station.,Transport & Travel,request_or_command,15,long,,,,,,
GH0263,Does it make you sad when people ignore you?,Feelings & Opinions,question,9,medium,,,,,,
GH0264,Is it far from here?,Directions & Places,question,5,short,,,,,,
GH0265,He is worried about his mother's health.,Feelings & Opinions,statement,7,medium,,,,,,
GH0266,How much is each person contributing towards the funeral expenses this time?,"Church, Mosque & Community",question,12,long,,,,,,
GH0267,I did not see your message.,Phone & Technology,statement,6,medium,,,,,,
GH0268,Let us meet at four o'clock in front of the bank near the market.,Time & Plans,request_or_command,14,long,,,,,,
GH0269,It is nice to meet you.,Introductions & Small Talk,statement,6,medium,,,,,,
GH0270,They have not paid my salary this month.,Work & Business,statement,8,medium,,,,,,
GH0271,Some sellers are patient with deaf customers.,Market & Shopping,statement,7,medium,,,,,,
GH0272,Our group is raising funds to buy books for the children at the deaf school.,"Church, Mosque & Community",statement,15,long,,,,,,
GH0273,"If the school had more sign language teachers, the students would perform much better.",School & Education,statement,14,long,,,,,,
GH0274,The traffic is heavy today.,Transport & Travel,statement,5,short,,,,,,
GH0275,Happy Eid.,"Church, Mosque & Community",statement,2,short,,,,,,
GH0276,Where is the nearest bank?,Directions & Places,question,5,short,,,,,,
GH0277,I went for an interview but they did not call me.,Work & Business,statement,11,long,,,,,,
GH0278,I use Ghanaian Sign Language.,Deaf Identity & Communication,statement,5,short,,,,,,
GH0279,The baby must go for vaccination next week.,Health & Hospital,statement,8,medium,,,,,,
GH0280,The engagement is this weekend.,"Church, Mosque & Community",statement,5,short,,,,,,
GH0281,Why did you not tell me how you felt?,Feelings & Opinions,question,9,medium,,,,,,
GH0282,It will take about two hours to finish.,Time & Plans,statement,8,medium,,,,,,
GH0283,I borrowed my friend's book because I did not finish copying the notes in class.,School & Education,statement,15,long,,,,,,
GH0284,I want to buy a new pair of shoes.,Market & Shopping,statement,9,medium,,,,,,
GH0285,"The machine broke down, so work has stopped.",Work & Business,statement,8,medium,,,,,,
GH0286,"Give me my change, I gave you fifty cedis.",Market & Shopping,request_or_command,9,medium,,,,,,
GH0287,Does the new teacher know enough sign language to teach the class properly?,School & Education,question,13,long,,,,,,
GH0288,Homowo is celebrated in Accra.,"Church, Mosque & Community",statement,5,short,,,,,,
GH0289,"I could not see the board clearly, so I asked to sit in the front row.",School & Education,statement,16,long,,,,,,
GH0290,I am free on Saturday.,Time & Plans,statement,5,short,,,,,,
GH0291,I do not agree with what he said.,Feelings & Opinions,statement,8,medium,,,,,,
GH0292,"If it rains this evening, the meeting will be moved to the church hall instead.",Weather & Environment,statement,15,long,,,,,,
GH0293,She is the best student in our class.,School & Education,statement,8,medium,,,,,,
GH0294,It looks like it will rain this evening.,Weather & Environment,statement,8,medium,,,,,,
GH0295,I do not have enough money until month end.,Money & Mobile Money,statement,9,medium,,,,,,
GH0296,I do not agree with him because he did not consider everybody's opinion.,Feelings & Opinions,statement,13,long,,,,,,
GH0297,Have you finished?,Requests & Everyday Actions,question,3,short,,,,,,
GH0298,I am married with two children.,Introductions & Small Talk,statement,6,medium,,,,,,
GH0299,Let us finish shopping before the rain starts.,Market & Shopping,request_or_command,8,medium,,,,,,
GH0300,Do not send money to anybody who messages you asking for your mobile money PIN.,Money & Mobile Money,request_or_command,15,long,,,,,,
GH0301,Add me to the group.,Phone & Technology,request_or_command,5,short,,,,,,
GH0302,Did the money I sent you through mobile money this morning finally come through?,Money & Mobile Money,question,14,long,,,,,,
GH0303,Did the rain reach your area last night?,Weather & Environment,question,8,medium,,,,,,
GH0304,I felt lonely at the programme because nobody there could sign with me.,Feelings & Opinions,statement,13,long,,,,,,
GH0305,I am bored.,Feelings & Opinions,statement,3,short,,,,,,
GH0306,Check whether the door is locked properly.,Requests & Everyday Actions,request_or_command,7,medium,,,,,,
GH0307,The funeral will be held on Saturday at the village.,"Church, Mosque & Community",statement,10,medium,,,,,,
GH0308,Is there any food left?,Food & Eating,question,5,short,,,,,,
GH0309,Somebody should always inform me what is happening.,Deaf Identity & Communication,statement,8,medium,,,,,,
GH0310,There is a wake keeping tonight.,"Church, Mosque & Community",statement,6,medium,,,,,,
GH0311,I was surprised to see him at the programme.,Feelings & Opinions,statement,9,medium,,,,,,
GH0312,Please write it down for me.,Deaf Identity & Communication,request_or_command,6,medium,,,,,,
GH0313,"We have many things in common, so I am happy that we met today.",Introductions & Small Talk,statement,14,long,,,,,,
GH0314,I am closing at five.,Work & Business,statement,5,short,,,,,,
GH0315,I am not too bad.,Greetings & Farewells,statement,5,short,,,,,,
GH0316,Will you keep the shoes for me until I receive my salary at month end?,Market & Shopping,question,15,long,,,,,,
GH0317,My luggage is heavy.,Transport & Travel,statement,4,short,,,,,,
GH0318,Are you leaving already?,Greetings & Farewells,question,4,short,,,,,,
GH0319,What time is it?,Time & Plans,question,4,short,,,,,,
GH0320,Hold the phone steady.,Phone & Technology,request_or_command,4,short,,,,,,
GH0321,We will fix another date.,Time & Plans,statement,5,short,,,,,,
GH0322,He is my neighbour.,Introductions & Small Talk,statement,4,short,,,,,,
GH0323,I am travelling home for the festival.,"Church, Mosque & Community",statement,7,medium,,,,,,
GH0324,Move the camera back.,Phone & Technology,request_or_command,4,short,,,,,,
GH0325,It has been a long time.,Greetings & Farewells,statement,6,medium,,,,,,
GH0326,Do not let the dog into the room.,Family & Home,request_or_command,8,medium,,,,,,
GH0327,Goodbye.,Greetings & Farewells,statement,1,short,,,,,,
GH0328,Come and sit here.,Greetings & Farewells,request_or_command,4,short,,,,,,
GH0329,I failed that paper.,School & Education,statement,4,short,,,,,,
GH0330,I am looking for work.,Introductions & Small Talk,statement,5,short,,,,,,
GH0331,How much do you think we will need for the transport and the food?,Money & Mobile Money,question,14,long,,,,,,
GH0332,We finished the job.,Work & Business,statement,4,short,,,,,,
GH0333,See you next week.,Greetings & Farewells,request_or_command,4,short,,,,,,
GH0334,Maybe.,Feelings & Opinions,statement,1,short,,,,,,
GH0335,"Welcome, please come inside and sit down.",Greetings & Farewells,request_or_command,7,medium,,,,,,
GH0336,It ended early.,Time & Plans,statement,3,short,,,,,,
GH0337,Did you tell the driver that you are dropping after the filling station?,Transport & Travel,question,13,long,,,,,,
GH0338,Please do not send money to that number.,Money & Mobile Money,request_or_command,8,medium,,,,,,
GH0339,This is my friend.,Introductions & Small Talk,statement,4,short,,,,,,
GH0340,The office is on the second floor of the building opposite the filling station.,Directions & Places,statement,14,long,,,,,,
GH0341,"Everybody in the house is fine, thank you.",Family & Home,statement,8,medium,,,,,,
